UniqueNo,SampleCode,Genus,Species,Sex,ColMonth,ColDay,ColYear,TRANSECT,TRAP,SITE
421089,0241536A,Amauris,niavius,m,Sep,14,2005,4,1,2
459403,0712541A,Amauris,niavius,m,Jan,26,2006,1,2,7
458938,02215310B,Amauris,tartarea,m,Nov,24,2005,2,1,2
468475,0142544B,Andronymus,hero,m,Mar,8,2006,4,2,1
468666,0533546A,Anthene,locuples,m,May,18,2006,3,3,5
468701,0611532B,Anthene,rubricinctus,m,Aug,31,2005,1,1,6
459410,0112543B,Ariadne,enotrea,m,Feb,15,2006,1,2,1
458753,0132544A,Ariadne,enotrea,m,Mar,7,2006,3,2,1
459384,0211544B,Ariadne,enotrea,m,Mar,9,2006,1,1,2
440950,0713544A,Ariadne,enotrea,m,Mar,30,2006,1,3,7
417803,0111535B,Aterica,galene,m,Oct,5,2005,1,1,1
416836,0111537A,Aterica,galene,m,Nov,15,2005,1,1,1
417947,0112531A,Aterica,galene,m,Jul,28,2005,1,2,1
416839,0112538B,Aterica,galene,m,Dec,7,2005,1,2,1
438705,0112546A,Aterica,galene,m,Apr,18,2006,1,2,1
417538,0113534B,Aterica,galene,m,Sep,21,2005,1,3,1
438010,0114545A,Aterica,galene,m,Mar,28,2006,1,4,1
417941,0121536A,Aterica,galene,m,Oct,25,2005,2,1,1
407579,0124531B,Aterica,galene,m,Jul,29,2005,2,4,1
435433,0124547B,Aterica,galene,m,May,10,2006,2,4,1
435397,0131545B,Aterica,galene,m,Mar,29,2006,3,1,1
418230,0133537A,Aterica,galene,m,Nov,15,2005,3,3,1
438396,0133547B,Aterica,galene,m,May,10,2006,3,3,1
418139,0141535A,Aterica,galene,m,Oct,4,2005,4,1,1
417965,0141535B,Aterica,galene,f,Oct,5,2005,4,1,1
418174,0141537A,Aterica,galene,m,Nov,15,2005,4,1,1
435563,0141546B,Aterica,galene,m,Apr,19,2006,4,1,1
416907,0142536A,Aterica,galene,m,Oct,25,2005,4,2,1
412706,0142538B,Aterica,galene,m,Dec,7,2005,4,2,1
417580,0142538B,Aterica,galene,m,Dec,7,2005,4,2,1
438403,0142546B,Aterica,galene,m,Apr,19,2006,4,2,1
417696,0143535A,Aterica,galene,f,Oct,4,2005,4,3,1
435737,0143545A,Aterica,galene,m,Mar,28,2006,4,3,1
417762,0144521A,Aterica,galene,f,Feb,16,2005,4,4,1
401965,0144538B,Aterica,galene,m,Dec,7,2005,4,4,1
417944,0144538B,Aterica,galene,f,Dec,7,2005,4,4,1
418151,0211531B,Aterica,galene,m,Jun,16,2005,1,1,2
417825,0211533B,Aterica,galene,m,Aug,10,2005,1,1,2
408607,0211535A,Aterica,galene,m,Aug,31,2005,1,1,2
409805,0211535B,Aterica,galene,m,Sep,1,2005,1,1,2
417578,0211538A,Aterica,galene,m,Oct,12,2005,1,1,2
434895,0211551A,Aterica,galene,m,May,31,2006,1,1,2
417326,02125310A,Aterica,galene,m,Nov,23,2005,1,2,2
417802,0212532A,Aterica,galene,m,Jul,23,2005,1,2,2
438062,0212546B,Aterica,galene,m,Apr,20,2006,1,2,2
438217,0212546B,Aterica,galene,m,Apr,20,2006,1,2,2
416713,02135310B,Aterica,galene,f,Nov,24,2005,1,3,2
417693,0213531A,Aterica,galene,f,Jun,15,2005,1,3,2
418086,0213531B,Aterica,galene,m,Jun,16,2005,1,3,2
416620,0213534A,Aterica,galene,m,Aug,16,2005,1,3,2
400270,0213535B,Aterica,galene,m,Sep,1,2005,1,3,2
439219,0213543B,Aterica,galene,m,Feb,16,2006,1,3,2
434475,0213551B,Aterica,galene,m,Jun,1,2006,1,3,2
416947,0214535B,Aterica,galene,m,Sep,1,2005,1,4,2
435061,0214541A,Aterica,galene,m,Jan,4,2006,1,4,2
434604,0214544B,Aterica,galene,m,Mar,9,2006,1,4,2
418155,02215310B,Aterica,galene,m,Nov,24,2005,2,1,2
416621,02215311A,Aterica,galene,m,Dec,14,2005,2,1,2
417736,02215311B,Aterica,galene,f,Dec,15,2005,2,1,2
417623,0221538A,Aterica,galene,m,Oct,12,2005,2,1,2
435147,0221542B,Aterica,galene,m,Jan,26,2006,2,1,2
435441,0221546A,Aterica,galene,m,Apr,19,2006,2,1,2
405641,0222534B,Aterica,galene,m,Aug,17,2005,2,2,2
417987,0222538A,Aterica,galene,m,Oct,12,2005,2,2,2
437158,0222544B,Aterica,galene,m,Mar,9,2006,2,2,2
439067,0222551A,Aterica,galene,m,May,31,2006,2,2,2
417845,0223538A,Aterica,galene,m,Oct,12,2005,2,3,2
435346,0223544B,Aterica,galene,m,Mar,9,2006,2,3,2
418270,02245310B,Aterica,galene,m,Nov,24,2005,2,4,2
439063,0224551B,Aterica,galene,m,Jun,1,2006,2,4,2
411268,0231531B,Aterica,galene,m,Jun,16,2005,3,1,2
437665,0231546A,Aterica,galene,m,Apr,19,2006,3,1,2
434834,0231547B,Aterica,galene,m,May,11,2006,3,1,2
434587,0231551A,Aterica,galene,m,May,31,2006,3,1,2
435260,0231551A,Aterica,galene,m,May,31,2006,3,1,2
438072,0231551A,Aterica,galene,m,May,31,2006,3,1,2
416802,02325311A,Aterica,galene,f,Dec,14,2005,3,2,2
435756,0232543A,Aterica,galene,m,Feb,15,2006,3,2,2
434201,0232546B,Aterica,galene,m,Apr,20,2006,3,2,2
392680,02335310A,Aterica,galene,m,Nov,23,2005,3,3,2
417124,02335311B,Aterica,galene,m,Dec,15,2005,3,3,2
417220,0233538B,Aterica,galene,m,Oct,13,2005,3,3,2
417284,0233539B,Aterica,galene,f,Nov,3,2005,3,3,2
435312,0233541A,Aterica,galene,m,Jan,4,2006,3,3,2
435185,0233547A,Aterica,galene,m,May,10,2006,3,3,2
434486,0233551A,Aterica,galene,m,May,31,2006,3,3,2
416644,0234536B,Aterica,galene,f,Sep,15,2005,3,4,2
438979,0234544B,Aterica,galene,m,Mar,9,2006,3,4,2
435987,0234546B,Aterica,galene,m,Apr,20,2006,3,4,2
438677,0234547A,Aterica,galene,m,May,10,2006,3,4,2
417265,0241531A,Aterica,galene,m,Jun,15,2005,4,1,2
417761,0241531A,Aterica,galene,m,Jun,15,2005,4,1,2
417310,0241537A,Aterica,galene,m,Sep,28,2005,4,1,2
417902,0241539A,Aterica,galene,m,Nov,2,2005,4,1,2
434634,0241546A,Aterica,galene,m,Apr,19,2006,4,1,2
436331,0241546A,Aterica,galene,m,Apr,19,2006,4,1,2
401024,0242531B,Aterica,galene,m,Jun,16,2005,4,2,2
417325,0242531B,Aterica,galene,f,Jun,16,2005,4,2,2
417169,0242539A,Aterica,galene,m,Nov,2,2005,4,2,2
436274,0242545A,Aterica,galene,m,Mar,29,2006,4,2,2
437617,0242546A,Aterica,galene,m,Apr,19,2006,4,2,2
416643,02435311A,Aterica,galene,m,Dec,14,2005,4,3,2
417819,0243531B,Aterica,galene,m,Jun,16,2005,4,3,2
412988,0243533A,Aterica,galene,m,Aug,9,2005,4,3,2
406552,0243534B,Aterica,galene,m,Aug,17,2005,4,3,2
417967,0243537A,Aterica,galene,m,Sep,28,2005,4,3,2
418154,0243539A,Aterica,galene,m,Nov,2,2005,4,3,2
436831,0243543A,Aterica,galene,m,Feb,15,2006,4,3,2
435255,0243545A,Aterica,galene,m,Mar,29,2006,4,3,2
434469,0243546B,Aterica,galene,m,Apr,20,2006,4,3,2
435292,0243546B,Aterica,galene,m,Apr,20,2006,4,3,2
435419,0243546B,Aterica,galene,m,Apr,20,2006,4,3,2
436359,0243547A,Aterica,galene,m,May,10,2006,4,3,2
417125,02445310A,Aterica,galene,m,Nov,23,2005,4,4,2
417928,02445310A,Aterica,galene,m,Nov,23,2005,4,4,2
399809,02445310B,Aterica,galene,m,Nov,24,2005,4,4,2
417926,02445311B,Aterica,galene,f,Dec,15,2005,4,4,2
418025,0244531B,Aterica,galene,m,Jun,16,2005,4,4,2
411873,0244533B,Aterica,galene,m,Aug,10,2005,4,4,2
405742,0244534A,Aterica,galene,m,Aug,16,2005,4,4,2
418233,0244534A,Aterica,galene,m,Aug,16,2005,4,4,2
416659,0244534B,Aterica,galene,m,Aug,17,2005,4,4,2
418173,0244538A,Aterica,galene,m,Oct,12,2005,4,4,2
417989,0244538B,Aterica,galene,m,Oct,13,2005,4,4,2
416661,0244539A,Aterica,galene,f,Nov,2,2005,4,4,2
418134,0244539A,Aterica,galene,f,Nov,2,2005,4,4,2
436739,0244543A,Aterica,galene,m,Feb,15,2006,4,4,2
438675,0244546A,Aterica,galene,m,Apr,19,2006,4,4,2
438728,0244546A,Aterica,galene,m,Apr,19,2006,4,4,2
438945,0244546B,Aterica,galene,m,Apr,20,2006,4,4,2
436542,0244551A,Aterica,galene,m,May,31,2006,4,4,2
435162,0244551B,Aterica,galene,m,Jun,1,2006,4,4,2
418153,0311533B,Aterica,galene,m,Sep,30,2005,1,1,3
418030,0311536B,Aterica,galene,f,Nov,23,2005,1,1,3
416697,0312531A,Aterica,galene,m,Sep,1,2005,1,2,3
436512,0312543B,Aterica,galene,m,Mar,1,2006,1,2,3
417323,0313531A,Aterica,galene,m,Sep,1,2005,1,3,3
417830,0313536A,Aterica,galene,m,Nov,22,2005,1,3,3
417352,0314535A,Aterica,galene,m,Nov,1,2005,1,4,3
404501,0314537A,Aterica,galene,m,Dec,13,2005,1,4,3
413346,0321536A,Aterica,galene,f,Nov,22,2005,2,1,3
410766,0322536A,Aterica,galene,m,Nov,22,2005,2,2,3
417733,0322536A,Aterica,galene,f,Nov,22,2005,2,2,3
417832,0322536A,Aterica,galene,m,Nov,22,2005,2,2,3
400553,0323536B,Aterica,galene,m,Nov,23,2005,2,3,3
416825,0323537B,Aterica,galene,m,Dec,14,2005,2,3,3
418026,0412538A,Aterica,galene,m,Oct,5,2005,1,2,4
439108,0412546A,Aterica,galene,m,Apr,26,2006,1,2,4
417730,0413532A,Aterica,galene,m,Jul,14,2005,1,3,4
417781,0413532B,Aterica,galene,m,Jul,15,2005,1,3,4
416932,0413533B,Aterica,galene,f,Aug,12,2005,1,3,4
435788,0413541A,Aterica,galene,m,Jan,11,2006,1,3,4
435539,0413544A,Aterica,galene,m,Mar,15,2006,1,3,4
437213,0413546B,Aterica,galene,m,Apr,27,2006,1,3,4
437912,0413547B,Aterica,galene,m,May,18,2006,1,3,4
